Name,Federation,FideID,B_Year,Gender,Title
"Banos, Oscar ",Argentina,107174,1969,Male,None
"Calderon Fernandez, Gervasio ",Argentina,107182,1978,Male,FIDE Master
"Jarmoluk, Jorge E. ",Argentina,107263,1953,Male,None
"Caceres Recalde, Fernando ",Argentina,107280,1996,Male,None
"Radoszta, Armando E. ",Argentina,107387,1945,Male,None
"Araoz, Claudio Alberto ",Argentina,107565,1961,Male,None
"Arias, Maria Paula ",Argentina,107581,1973,Female,None
"Strok, Boris ",Argentina,107603,1954,Male,None
"Fernandez, Alejandro ",Argentina,107700, ,Male,None
"Mela, Benjamin ",Argentina,107727,1978,Male,International Master
"Arraga, Gerardo ",Argentina,107743, ,Male,None
"Avila, Lucas ",Argentina,107751, ,Male,None
"Ayala, Gustavo ",Argentina,107760,1983,Male,None
"Beherens, Leonardo ",Argentina,107930,1995,Male,None
"Dickau, Daniel ",Argentina,107964,1961,Male,None
"Solis, Carlos ",Argentina,108014,1972,Male,None
"Flores, Diego ",Argentina,108049,1982,Male,Grandmaster
"Real De Azua, Ernesto ",Argentina,108154,1985,Male,International Master
"Gras, Carlos ",Argentina,108219,1961,Male,None
"Lo Presti, Roberto ",Argentina,108286,1958,Male,None
"Gomez Borges, Ruben Alfredo ",Argentina,108324,1964,Male,None
"Giampa, Alejandro ",Italy,108359,1971,Male,None
"Della Morte, Pablo ",Argentina,108448,1982,Male,International Master
"Faig, Cristian ",Argentina,108480,1979,Male,None
"Coldman, Ricardo ",Argentina,108618, ,Male,None
"Liascovich, Lucas ",Argentina,108634,1984,Male,International Master
"Cristal, Ariel ",Argentina,108669,1962,Male,None
"Airando, Martin ",Argentina,108847,1981,Male,FIDE Master
"Gimenez, Dante ",Argentina,108871,1953,Male,None
"Altieri, Alejandro ",Argentina,108880, ,Male,None
"Castillo, Santiago ",Argentina,108936,1981,Male,None
"Maggiolo, Elisa ",Argentina,108987,1980,Female,Woman Intl. Master
"Cervetto, Esteban ",Argentina,109002,1980,Male,None
"Beckerman, Marcelo ",Argentina,109070,1961,Male,None
"Zuriel, Marisa ",Argentina,109142,1982,Female,Woman Intl. Master
"Morasso, Javier ",Argentina,109185, ,Male,None
"Garcia Campitelli, Gonzalo ",Argentina,109266,1985,Male,None
"Flores Mirabal, Nancy ",Argentina,109339,1993,Female,Woman Candidate Master
"Galvan, Ariel ",Argentina,109398, ,Male,None
"Benigni, Daniel ",Argentina,109410,1984,Male,Candidate Master
"Dominguez, Diego ",Argentina,109436,1975,Male,None
"Gimenez, Martin ",Argentina,109495,1978,Male,None
"Martyniuk, Carolina Milka ",Argentina,109576,1978,Female,None
"Evans, Pablo ",Argentina,109592,1979,Male,None
"Perelman, Hernan ",Argentina,109622,1967,Male,FIDE Master
